Rank,Release Group,Worldwide,Domestic,%,Foreign
125,Il sol dell'avvenire,"$2,638,301",-,100%,"$2,638,301"
126,Over My Dead Body,"$2,614,575",-,100%,"$2,614,575"
127,Varisu,"$2,528,333",-,100%,"$2,528,333"
128,The Lulus,"$2,521,080",-,100%,"$2,521,080"
129,When Will It Be Again Like It Never Was Before,"$2,520,464",-,100%,"$2,520,464"
130,Ostrov,"$2,517,672",-,100%,"$2,517,672"
131,Come Out in Jesus Name,"$2,500,574","$2,500,574",-,-
132,A Good Person,"$2,479,982","$2,210,465",10.9%,"$269,517"
133,Soulmate,"$2,471,778",-,100%,"$2,471,778"
134,Klem,"$2,470,684",-,100%,"$2,470,684"
135,El hotel de los líos. García y García 2,"$2,413,223",-,100%,"$2,413,223"
136,Knights of the Zodiac,"$2,400,000",-,100%,"$2,400,000"
137,Illegal Hayatlar,"$2,362,301",-,100%,"$2,362,301"
138,The First Day of My Life,"$2,236,704",-,100%,"$2,236,704"
139,Kisi Ka Bhai Kisi Ki Jaan,"$2,230,483",-,100%,"$2,230,483"
140,All Inclusive,"$2,175,298",-,100%,"$2,175,298"
141,Moving On,"$2,129,623","$2,129,623",-,-
142,Woong-Nam,"$2,126,130",-,100%,"$2,126,130"
143,Billie Eilish Live at the O2,"$2,123,117","$1,290,000",39.2%,"$833,117"
144,Vaincre ou mourir,"$2,107,350",-,100%,"$2,107,350"
145,Heaven in Hell,"$2,103,819",-,100%,"$2,103,819"
146,"Romina, VTM","$2,100,148",-,100%,"$2,100,148"
147,Everything Under Control,"$2,093,286",-,100%,"$2,093,286"
148,Fear,"$2,090,261","$2,090,261",-,-
149,Svobodnyye otnosheniya,"$2,087,809",-,100%,"$2,087,809"
150,Skinamarink,"$2,053,360","$2,052,272",<0.1%,"$1,088"
151,Marry My Dead Body,"$1,898,342",-,100%,"$1,898,342"
152,Caveman,"$1,827,270",-,100%,"$1,827,270"
153,Andre Rieu In Dublin 2023,"$1,815,103",-,100%,"$1,815,103"
154,Haita de actiune,"$1,751,357",-,100%,"$1,751,357"
155,Do Unto Others,"$1,746,479",-,100%,"$1,746,479"
156,Con Nhot Mot Chong,"$1,700,130",-,100%,"$1,700,130"
157,Divertimento,"$1,690,265",-,100%,"$1,690,265"
158,Huesera: The Bone Woman,"$1,685,816",-,100%,"$1,685,816"
159,¡Vaya vacaciones!,"$1,680,520",-,100%,"$1,680,520"
160,All of Those Voices,"$1,674,696",-,100%,"$1,674,696"
161,Blueback,"$1,661,860",-,100%,"$1,661,860"
162,Princes of the Desert,"$1,636,733",-,100%,"$1,636,733"
163,Invalid,"$1,564,808",-,100%,"$1,564,808"
164,Romancham,"$1,544,653",-,100%,"$1,544,653"
165,Byt,"$1,518,473",-,100%,"$1,518,473"
166,Grand Expectations,"$1,514,712",-,100%,"$1,514,712"
167,Thunivu,"$1,510,268",-,100%,"$1,510,268"
168,Polite Society,"$1,500,025","$1,066,025",28.9%,"$434,000"
169,Rye Lane,"$1,477,154",-,100%,"$1,477,154"
170,Dads Versus Moms,"$1,472,216",-,100%,"$1,472,216"
171,Prání k narozeninám,"$1,458,945",-,100%,"$1,458,945"
172,Consecration,"$1,403,136","$538,551",61.6%,"$864,585"
173,Bud chlap!,"$1,386,291",-,100%,"$1,386,291"
174,My Heart Puppy,"$1,382,608",-,100%,"$1,382,608"
175,Hidden Blade,"$1,350,634","$803,189",40.5%,"$547,445"
176,Theory of Ambitions,"$1,344,185",-,100%,"$1,344,185"
177,"Mon chat et moi, la grande aventure de Rroû","$1,338,756",-,100%,"$1,338,756"
178,Broken,"$1,323,818",-,100%,"$1,323,818"
179,Richard the Stork and the Mystery of the Great Jewel,"$1,321,602",-,100%,"$1,321,602"
180,Marui Video,"$1,321,380",-,100%,"$1,321,380"
181,The Ghost Station,"$1,320,647",-,100%,"$1,320,647"
182,Le clan,"$1,316,331",-,100%,"$1,316,331"
183,Somewhere in Queens,"$1,303,795","$1,303,795",-,-
184,Next Sohee,"$1,302,031",-,100%,"$1,302,031"
185,"Baian the Assassin, M.D. Part 1","$1,234,515",-,100%,"$1,234,515"
186,Killing Romance,"$1,229,304",-,100%,"$1,229,304"
187,Spirited Away 2023 Re-release (Live on Stage),"$1,226,581","$1,226,581",-,-
188,Tchaikovsky's Wife,"$1,209,236",-,100%,"$1,209,236"
189,National Theatre Live: Good,"$1,204,383",-,100%,"$1,204,383"
190,Beshenstvo,"$1,189,796",-,100%,"$1,189,796"
191,Filip,"$1,187,931",-,100%,"$1,187,931"
192,No Dogs or Italians Allowed,"$1,183,641",-,100%,"$1,183,641"
193,Everything Everywhere All at Once 2023 Re-release,"$1,178,191",-,100%,"$1,178,191"
194,The Lord of the Rings: The Return of the King 20th Anniversary,"$1,176,085","$1,176,085",-,-
195,Nabil El Gamil Dr. Tagmeel,"$1,146,553",-,100%,"$1,146,553"
196,Notre tout petit petit mariage,"$1,136,940",-,100%,"$1,136,940"
197,To Catch a Killer,"$1,133,571",-,100%,"$1,133,571"
198,Dangerous Men,"$1,127,707",-,100%,"$1,127,707"
199,Masz ci los!,"$1,111,717",-,100%,"$1,111,717"
200,Fireworks,"$1,078,999",-,100%,"$1,078,999"
